No.	한글	日本語	예문	例文
1	까지	～まで	강남까지 가는데 시간이 어느 정도예요?	江南 まで行くのに時間 が どれくらいですか？
2	께	～に（丁寧語）	부모님께 드리고 싶은 선물이 있어요.	両親に差し上げたいお土産があります。
3	께서	～が（丁寧語）	할머니께서 사과를 사오라고 하셨어요.	おばあさんがリンゴを買ってきてといいました。
4	( 이 ) 나	でも	밥이나 먹으러 가고 싶어요.	ご飯でも食べに行きたいです。
5	( 이 ) 나	か	교환이나 환불 원하시면 연락주세요.	交換か返金をご希望されるならご連絡ください。
6	( 이 ) 나	も	쇼핑하는데 열시간이나 걸렸어요.	ショッピングするのに10時間 も かかりました。
7	( 이 ) 랑	と	친구랑 같이 왔어요.	友達と一緒に来ました。
8	도	～も	내일도 오늘도 날씨가 좋아요.	明日も今日も天気が良いです。
9	마다	～ごと	한국에 올 때마다 이 가게를 찾아요.	韓国に来るたびに、この店に行きます。
10	만	～だけ	지금 5000원만 있어요.	今、5000ウォンだけあります。
11	밖에	～しか	시간이 한시간밖에 없어요.	時間が一時間しかありません。
12	보다	～より	이것보다 이게 더 어울려요.	これよりも、こっちがもっと似合います。
13	부터	～から	지하철은 아침 5시부터 운영합니다.	地下鉄は朝の5時から運営します。
14	에	～に	남대문 시장에 가고 싶어요.	南大門市場に行きたいです。
15	에게	～に	손님에게 특별히 드립니다.	お客様に特別に差し上げます。
16	에게서	～から	호텔 직원에게서 받았습니다.	ホテルの職員からもらいました。
17	에서	～から	공항에서 지하철 타고 왔어요.	空港から地下鉄に乗ってきました。
18	와/과	～と	본래 가격 과 달라요.	本来の価格 と 違います。
19	～ ( 으 ) 로	～に	저는 서울로 가요.	私はソウルに行きます。
20	은/는	～は	저는 일본사람이에요.	私は日本人です。
21	을/를	～を	택시를 불러주세요.	タクシーを呼んでください
22	의	～の	한국의 화장품은 특별해요.	韓国の化粧品は特別です。
23	이/가	～が	오늘은 날씨가 맑을 거예요.	今日は天気がいいでしょう。
24	이/가 아니다	～ではない	제 물건이 아닙니다.	私の物ではありません。
25	처럼	～のように	배우처럼 생기셨네요.	俳優 のように 見えますね。
26	하고	～と、して	양념 치킨하고 맥주 주세요.	ヤンニョムチキン とビールください。
27	한테	～に	백화점 안내원한테 물어보세요.	デパートの案内係に聞いてみてください。
28	한테서	～から	이거는 어머니한테서 선물로 받은 거예요.	これは母からプレゼントとしてもらいました。
29	～(으)ㄴ 것 같다	～したみたい/気がする	택시 비용이 좀 비싼 것 같아요.	タクシーの費用がちょっと高い気がします。
30	～( 으 ) ㄹ 것 같다	～するみたい	이 화장품은 한국에서 인기가 많을 것 같아요.	この化粧品は韓国で人気が 高いみたいです。
31	～(으)ㄴ 적이 없다	～したことがない	저는 한국에 가본 적이 없어요.	私は韓国に行ったことがありません。
32	～(으)ㄴ 적이 있다	～したことがある	이 가게에 와본 적이 있어요.	この店に来たことがあります。
33	～(으)ㄴ 지	～てから	이 가게가 생긴지 얼마나 됐어요?	この店ができてから、どれくらいになりました？
34	～(으)ㄴ 지	～て	한국에 온지 3일이 지났습니다.	韓国に来て、3日が経ちました。
35	～(으)ㄴ 후에	～した後に	쇼핑한 후에 밥 먹었습니다.	ショッピングした後にご飯を食べました。
