id	ko	ja	pos	pos_tag	lemma
1	가게	店	Noun	NNG	가게
2	가격	価格	Noun	NNG	가격
3	가구	家具	Noun	NNG	가구
4	가깝다	近い	VA-I	VA-I	가깝다
5	가끔	時々	Adverb	MAG	가끔
6	가다	行く	Verb	VV	가다
7	가르치다	教える	Verb	VV	가르치다
8	가방	鞄	Noun	NNG	가방
9	가볍다	軽い	VA-I	VA-I	가볍다
10	가수	歌手	Noun	NNG	가수
11	가슴	胸	Noun	NNG	가슴
12	가요	歌謡	Verb	VV	가다
13	가운데	間、中間	Noun	NNG	가운데
14	가위	はさみ	Noun	NNG	가위
15	가을	秋	Noun	NNG	가을
16	가장	最も、一番	Adverb	MAG	가장
17	가져가다	持って行く	Verb	VV	가져가다
18	가져오다	持って来る	Verb	VV	가져오다
19	가족	家族	Noun	NNG	가족
20	가지	種類	Verb	VV	가다
21	가지다	持つ	Verb	VV	가지다
22	각	各、おのおの	Determiner	MM	각
23	간	間	Noun	NNG	간
24	간단하다	簡単だ	XR	XR	간단
25	간단히	簡単に	Adverb	MAG	간단히
26	간식	間食、おやつ	Noun	NNG	간식
27	간장	醤油	Noun	NNG	간장
28	간호사	看護士	Noun	NNG	간호사
29	갈비	カルビ	Noun	NNG	갈비
30	갈비탕	カルビタン	Noun	NNG	갈비탕
31	갈색	褐色、茶色	Noun	NNG	갈색
32	갈아타다	乗り換える	Verb	VV	갈아타다
33	감	柿	Verb	VV	가다
34	감기	風邪	Noun	NNG	감기
35	감기약	風邪薬	Noun	NNG	감기약
36	감다	（目を）閉じる	Verb	VV	감다
37	감동	感動	Noun	NNG	감동
38	감동하다	感動する	Noun	NNG	감동
39	감사	感謝	Noun	NNG	감사
40	감사드립니다	ありがとうございます	Noun	NNG	감사
41	감사하다	感謝する	Noun	NNG	감사
42	감사합니다	ありがとうございます	Noun	NNG	감사
43	감자	じゃがいも	Noun	NNG	감자
44	감자탕	カムジャタン	Noun	NNG	감자탕
45	갑자기	急に	Adverb	MAG	갑자기
46	값	値段、価値	Noun	NNG	값
47	강	川	Noun	NNP	강
48	강아지	子犬	Noun	NNG	강아지
49	강좌	講座	Noun	NNG	강좌
50	갖다	持つ	Verb	VV	갖다
51	같다	同じだ	Adjective	VA	같다
52	같이	一緒に	Adverb	MAG	같이
53	개	～個、犬	Noun	NNG	개
54	개나리	レンギョウ	Noun	NNG	개나리
55	개인	個人	Noun	NNG	개인
56	거기	そこ	Pronoun	NP	거기
57	거리	通り、街	Noun	NNG	거리
58	거실	居室、居間	Noun	NNG	거실
59	거울	鏡	Noun	NNG	거울
60	거의	ほとんど	Adverb	MAG	거의
61	거짓말	嘘	Noun	NNG	거짓말
62	걱정	心配	Noun	NNG	걱정
63	걱정하다	心配する	Noun	NNG	걱정
64	건강	健康	Noun	NNG	건강
65	건강하다	健康だ	Noun	NNG	건강
66	건너가다	渡って行く、渡る、横切る	Verb	VV	건너가다
67	건너다	渡る	Verb	VV	건너다
68	건너편	向こう側、向かい	Noun	NNG	건너편
69	건물	建物	Noun	NNG	건물
70	건배	乾杯	Noun	NNG	건배
71	걷다	歩く	VV-I	VV-I	걷다
72	걸다	かける	Verb	VV	걸다
73	걸리다	かかる	Verb	VV	걸리다
74	걸어가다	歩いて行く	Verb	VV	걸어가다
75	걸어오다	歩いて来る	Verb	VV	걸어오다
76	검은색	黒、黒色	Noun	NNG	검은색
77	것	もの、こと	Noun	NNB	것
78	게임	ゲーム、遊び	Noun	NNG	게임
79	겨울	冬	Noun	NNG	겨울
80	겨울방학	冬休み	Noun	NNG	겨울
81	결과	結果	Noun	NNG	결과
82	결정	決定	Noun	NNG	결정
83	결정하다	決定する	Noun	NNG	결정
