id	ko	ja	pos	pos_tag	lemma
1	가계부	家計簿	Noun	NNG	가계부
2	가구점	家具店	Noun	NNG	가구점
3	가까이	近く	Adverb	MAG	가까이
4	가꾸다	栽培する	Verb	VV	가꾸다
5	가난	貧乏	Noun	NNG	가난
6	가늘다	細い	Adjective	VA	가늘다
7	가능	可能	Noun	NNG	가능
8	가능성	可能性	Noun	NNG	가능
9	가능하다	可能だ	Noun	NNG	가능
10	가득	いっぱい	Adverb	MAG	가득
11	가라앉다	沈む	Verb	VV	가라앉다
12	가렵다	かゆい	VA-I	VA-I	가렵다
13	가루비누	粉石鹸	Noun	NNG	가루
14	가리다	選ぶ	Verb	VV	가리다
15	가리키다	示す	Verb	VV	가리키다
16	가만히	じっと、おとなしく	Adverb	MAG	가만히
17	가뭄	干ばつ、日照り	Noun	NNG	가뭄
18	가사	家事	Noun	NNG	가사
19	가상	仮想	Noun	NNG	가상
20	가스	ガス	Noun	NNG	가스
21	가습기	加湿器	Noun	NNG	가습기
22	가입	加入	Noun	NNG	가입
23	가전제품	家電製品	Noun	NNG	가전제품
24	가정	家庭	Noun	NNG	가정
25	가족적	家族的	Noun	NNG	가족
26	가축	家畜	Noun	NNG	가축
27	가치	価値	Noun	NNG	가치
28	각각	別々に、それぞれ	Adverb	MAG	각각
29	각자	各自	Adverb	MAG	각자
30	각종	各種	Noun	NNG	각종
31	간격	間隔	Noun	NNG	간격
32	간절히	切に	Adverb	MAG	간절히
33	간접적	間接的	Noun	NNG	간접
34	간판	看板	Noun	NNG	간판
35	간호	看護	Noun	NNG	간호
36	갈다	替える	Verb	VV	갈다
37	갈등	葛藤	Noun	NNG	갈등
38	갈수록	ますます	Adverb	MAG	갈수록
39	갈아입다	着替える	VV-R	VV-R	갈아입다
40	감각	感覚	Noun	NNG	감각
41	감기다	巻かれる	Noun	NNG	감기
42	감독	監督	Noun	NNG	감독
43	감동적	感動的	Noun	NNG	감동
44	감상	鑑賞	Noun	NNG	감상
45	감소	減少	Noun	NNG	감소
46	감정	感情	Noun	NNG	감정
47	감탄	感嘆、感歎	Noun	NNG	감탄
48	강물	川水	Noun	NNG	강물
49	강변	川沿い、川辺	Noun	NNG	강변
50	강사	講師	Noun	NNG	강사
51	강수량	降水量	Noun	NNG	강수량
52	강연	講演	Noun	NNG	강연
53	강우량	降雨量	Noun	NNG	강우량
54	강의	講義	Noun	NNG	강의
55	강의실	講義室	Noun	NNG	강의실
56	강조	強調	Noun	NNG	강조
57	강하다	強い	Adjective	VA	강하다
58	갖추다	整える、準備する	Verb	VV	갖추다
59	갚다	返す、報いる	Verb	VV	갚다
60	개강	開講	Noun	NNG	개강
61	개구리	カエル	Noun	NNG	개구리
62	개구쟁이	いたずらっ子、やんちゃ	Noun	NNG	개구쟁이
63	개다	晴れる	Noun	NNB	개
64	개막식	開幕式、開会式	Noun	NNG	개막식
65	개발	開発	Noun	NNG	개발
66	개방	開放	Noun	NNG	개방
67	개방적	開放的	Noun	NNG	개방
68	개선	改善	Noun	NNG	개선
69	개성	個性	Noun	NNG	개성
70	개성적	個性的	Noun	NNG	개성
71	개인적	個人的	Noun	NNG	개인
72	개최	開催	Noun	NNG	개최
73	객관적	客観的	Noun	NNG	객관
74	객실	客室	Noun	NNG	객실
75	갸름하다	細長い	XR	XR	갸름
76	걔	その子	Pronoun	NP	걔
77	거래	取引	Noun	NNG	거래
78	거미	蜘蛛	Noun	NNG	거미
79	거북이	カメ	Noun	NNG	거북이
80	거스름돈	お釣り	Noun	NNG	거스름돈
81	거절	拒絶	Noun	NNG	거절
82	거짓	嘘、偽り	Noun	NNG	거짓
83	거치다	こすれる	Verb	VV	거치다
84	거품	泡	Noun	NNG	거품
85	걱정거리	心配事	Noun	NNG	걱정거리
86	건강식	健康食	Noun	NNG	건강식
87	건강식품	健康食品	Noun	NNG	건강식품
88	건너	向こう	Verb	VV	건너다
89	건네다	手渡す、（声を）かける	Verb	VV	건네다
90	건더기	具、カップ麺の加薬	Noun	NNG	건더기
91	건망증	健忘症、物忘れ	Noun	NNG	건망증
92	건설	建設	Noun	NNG	건설
93	건전지	乾電池	Noun	NNG	건전지
94	건조	乾燥	Noun	NNG	건조
95	건축	建築	Noun	NNG	건축
96	건축가	建築家	Noun	NNG	건축가
97	걸레	雑巾	Noun	NNG	걸레
98	걸레질	雑巾がけ	Noun	NNG	걸레
99	걸음	歩み	Noun	NNG	걸음
100	검다	黒い	Adjective	VA	검다
101	검사	検査	Noun	NNG	검사
102	검색	検索	Noun	NNG	검색
103	검색어	検索語、検索単語	Noun	NNG	검색어
104	겁	恐れ、怖さ	Noun	NNG	겁
105	겉	表面、外面	Noun	NNG	겉
106	겉모습	見かけ	Noun	NNG	겉모습
107	게다가	その上、それに	Adverb	MAG	게다가
108	게시판	掲示板	Noun	NNG	게시판
109	게으르다	怠ける、怠惰だ	Adjective	VA	게으르다
110	게임기	ゲーム機	Noun	NNG	게임기
111	겨우	やっと、ようやく	Adverb	MAG	겨우
112	격려	激励	Noun	NNG	격려
113	겪다	経験する、経る	Verb	VV	겪다
114	견디다	耐える	Verb	VV	견디다
115	결과적	結果的	Noun	NNG	결과
116	결국	結局	Adverb	MAG	결국
117	결론	結論	Noun	NNG	결론
118	결말	結末	Noun	NNG	결말
119	결석	欠席	Noun	NNG	결석
120	결승전	決勝戦	Noun	NNG	결승전
121	결심	決心	Noun	NNG	결심
122	결코	決して	Adverb	MAG	결코
123	결혼기념일	結婚記念日	Noun	NNG	결혼기념일
124	결혼식장	結婚式場	Noun	NNG	결혼식장
125	겸손	謙遜	Noun	NNG	겸손
126	겹치다	重なる	Verb	VV	겹치다
127	경고	警告	Noun	NNG	경고
128	경력	経歴	Noun	NNG	경력
129	경비	警備	Noun	NNG	경비
130	경비원	警備員	Noun	NNG	경비원
131	경영	経営	Noun	NNG	경영
132	경영자	経営者	Noun	NNG	경영자
133	경영학	経営学	Noun	NNG	경영학
134	경우	場合	Noun	NNG	경우
135	경쟁	競争	Noun	NNG	경쟁
136	경쟁력	競争力	Noun	NNG	경쟁력
137	경제	経済	Noun	NNG	경제
138	경제력	経済力	Noun	NNG	경제력
139	경제적	経済的	Noun	NNG	경제
140	경제학	経済学	Noun	NNG	경제학
141	계산	計算、会計	Noun	NNG	계산
142	계산대	レジ	Noun	NNG	계산대
143	계산서	計算書	Noun	NNG	계산서
144	계약	契約	Noun	NNG	계약
145	계약금	契約金	Noun	NNG	계약금
146	계약서	契約書	Noun	NNG	계약서
147	계좌	口座	Noun	NNG	계좌
148	계층	階層	Noun	NNG	계층
149	계획성	計画性	Noun	NNG	계획
